Epoch [1/100] | Train Loss: 0.01050738 | Val Loss: 0.00564514 | Learning Rate: 0.000028
Epoch [2/100] | Train Loss: 0.00513714 | Val Loss: 0.00530685 | Learning Rate: 0.000046
Epoch [3/100] | Train Loss: 0.00383381 | Val Loss: 0.00536849 | Learning Rate: 0.000064
Epoch [4/100] | Train Loss: 0.00294500 | Val Loss: 0.00722626 | Learning Rate: 0.000082
Epoch [5/100] | Train Loss: 0.00243426 | Val Loss: 0.00614422 | Learning Rate: 0.000100
Epoch [6/100] | Train Loss: 0.00211344 | Val Loss: 0.00313879 | Learning Rate: 0.000100
Epoch [7/100] | Train Loss: 0.00186662 | Val Loss: 0.00201719 | Learning Rate: 0.000100
Epoch [8/100] | Train Loss: 0.00171409 | Val Loss: 0.00163822 | Learning Rate: 0.000100
Epoch [9/100] | Train Loss: 0.00161179 | Val Loss: 0.00165407 | Learning Rate: 0.000100
Epoch [10/100] | Train Loss: 0.00154173 | Val Loss: 0.00150600 | Learning Rate: 0.000099
Epoch [11/100] | Train Loss: 0.00148508 | Val Loss: 0.00147021 | Learning Rate: 0.000099
Epoch [12/100] | Train Loss: 0.00144200 | Val Loss: 0.00139208 | Learning Rate: 0.000099
Epoch [13/100] | Train Loss: 0.00140537 | Val Loss: 0.00138674 | Learning Rate: 0.000098
Epoch [14/100] | Train Loss: 0.00137773 | Val Loss: 0.00136314 | Learning Rate: 0.000098
Epoch [15/100] | Train Loss: 0.00135275 | Val Loss: 0.00136930 | Learning Rate: 0.000097
Epoch [16/100] | Train Loss: 0.00132964 | Val Loss: 0.00132353 | Learning Rate: 0.000097
Epoch [17/100] | Train Loss: 0.00131244 | Val Loss: 0.00135193 | Learning Rate: 0.000096
Epoch [18/100] | Train Loss: 0.00129614 | Val Loss: 0.00127702 | Learning Rate: 0.000095
Epoch [19/100] | Train Loss: 0.00128008 | Val Loss: 0.00129457 | Learning Rate: 0.000095
Epoch [20/100] | Train Loss: 0.00126743 | Val Loss: 0.00130024 | Learning Rate: 0.000094
Epoch [21/100] | Train Loss: 0.00125397 | Val Loss: 0.00125306 | Learning Rate: 0.000093
Epoch [22/100] | Train Loss: 0.00124155 | Val Loss: 0.00124976 | Learning Rate: 0.000092
Epoch [23/100] | Train Loss: 0.00123116 | Val Loss: 0.00149782 | Learning Rate: 0.000091
Epoch [24/100] | Train Loss: 0.00122031 | Val Loss: 0.00121646 | Learning Rate: 0.000091
Epoch [25/100] | Train Loss: 0.00121060 | Val Loss: 0.00121765 | Learning Rate: 0.000090
Epoch [26/100] | Train Loss: 0.00120110 | Val Loss: 0.00121235 | Learning Rate: 0.000089
Epoch [27/100] | Train Loss: 0.00119335 | Val Loss: 0.00118862 | Learning Rate: 0.000087
